2026-05-15 12:21:51.207 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = HEADER_SOURCE_M, value = esbclient
2026-05-15 12:21:51.207 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = IC_SERVER_ID, value = ic_sb
2026-05-15 12:21:51.207 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_PROPERTIES, value = ./mqtt.properties
2026-05-15 12:21:51.207 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = BODY_CLIENT_VER_N, value = 1
2026-05-15 12:21:51.207 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = BUSINESS_UNIT, value = tuas
2026-05-15 12:21:51.207 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = NO_WAIT_FOR_EQPT_INIT_R_I, value = true
2026-05-15 12:21:51.207 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = LEEWELL_MQTT_CENTER_BROKER_URL, value = tcp://10.150.78.6:1883
2026-05-15 12:21:51.207 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = DIALUP_I, value = false
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_DRA_URL_X, value = tcp://10.150.130.1:55555,tcp://10.150.130.1:55555
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = ROUND_ROBIN_CONNECT_I, value = false
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = REGION, value = sg
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = CTRL_ID, value = esbserver_sb
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_KEEP_ALIVE_INTERVAL_N, value = 3
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = BODY_TRANSPORT_MODE_X, value = SMF
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = DIALUP_RETRIES_N, value = 3
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = HEADER_ASSET_ID, value = 1900100011-server
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_DRA_URL_X, value = tcp://10.150.130.1:2883,tcp://10.150.130.1:2883
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = DEST_SYSTEM_NAME, value = gcs
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_SECURED_DRA_URL_X, value = tcps://10.150.130.1:55443,tcps://10.150.130.1:55443
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = EQPT_INIT_STATUS, value = eqpt_init_status
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_RECONNECT_RETRIES_N, value = 3
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = ESB_HEADER_X, value = gtosplus_esb_header
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = TOPIC_INCLUDE_DEST_I, value = false
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = DIALUP_CMD_X, value = ST_3G 5,M1_3G 5
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SERVER_CODE, value = ESB
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_A_URL_X, value = tcp://10.150.130.1:55555,tcp://10.150.130.1:55555
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_SEND_BUFFER_SIZE_N, value = 2
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = CHECK_COMMS_ENABLED_I, value = false
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = EQPT_INIT_R, value = eqpt_init_r
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_QOS_N, value = 0
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = LEEWELL_MQTT_USERNAME, value = root
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_CLEAN_SESSION_I, value = 1
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_MAX_INFLIGHT, value = 100
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SOCKET_PLAINTEXT_URL_X, value = localhost
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = DIALUP_BASE_CMD_X, value = C:\PMPC\config\cei_dial.bat
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = BODY_TLS_I, value = 0
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = ORGANIZATION, value = psa
